,osm_id,code,fclass,name,lon,lat
0,367803591,2009,courthouse,Kauai County Courthouse,-159.36944,21.97861
1,367803679,2007,library,Waimea Public Library,-159.67306,21.95889
2,1157116221,2005,post_office,Eleele Post Office,-159.58552,21.90529
3,1297660138,2005,post_office,United States Post Office,-159.47363,22.21394
4,4615357899,2002,fire_station,Hanalei Fire Station,-159.47892,22.21245
5,4615357947,2001,police,Hanalei Police Station,-159.47921,22.21227
6,4636123028,2002,fire_station,Waimea Station 7,-159.66818,21.95549
7,4760711558,2002,fire_station,,-159.46749,21.88383
8,5541678433,2002,fire_station,Kauai fire departement,-159.3092,22.08685
9,5541678531,2005,post_office,,-159.58776,21.91054
10,6421887832,2007,library,Waimea Canyon Middle School Library,-159.67302,21.96237
