geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,prc_native_hi,prc_native_hi_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,turnout_tot_2016,vbm_tot_2020,turnout_tot_2020
15005031900,9.0,0.06154,1.0,0.89744,1.0,0.19608,1.0,0.1,1.0,0.04545,1.0,0.21212,0.0,0.0303,1.0,0.0303,1.0,0.01515,1.0,0.22727,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01515,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01515,1.0,0.10606,1.0,0.06061,1.0,0.01515,1.0,0.0,1.0,0.27273,0.0,1.0,1.0,0.46182,0.0,,0.0,82.0,45.18336,1.81483,0.99995,0.61764,0.99999,0.68571
15009030100,9.0,0.0,1.0,0.99358,0.0,0.03553,1.0,0.07496,0.0,0.11886,1.0,0.00214,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.24555,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00214,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.47829,0.0,0.01007,0.0,0.0,1.0,0.01615,0.00396,2718.0,580.66039,4.68088,0.9558,0.52379,0.98284,0.64995
15009030201,9.0,0.01096,1.0,0.981,0.0,0.05957,1.0,0.08165,0.0,0.04359,1.0,0.07479,0.0,0.0,1.0,0.14915,0.0,0.0,1.0,0.57607,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11154,0.0,0.03761,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.04615,1.0,0.01838,1.0,0.0,1.0,0.0047,1.0,0.07137,1.0,0.01584,0.0,0.0,1.0,0.00233,0.01835,2763.0,122.22973,22.60498,0.90384,0.55991,0.9401,0.66791
15009030203,9.0,0.03289,1.0,0.9624,0.0,0.05216,1.0,0.09134,0.0,0.03416,1.0,0.10686,0.0,0.00276,1.0,0.15516,0.0,0.0,1.0,0.5,0.0,0.00564,1.0,0.0,1.0,0.0,1.0,0.06315,1.0,0.03336,1.0,0.01886,1.0,0.0,1.0,0.01518,1.0,0.05832,1.0,0.02473,1.0,0.0,1.0,0.0,1.0,0.03577,1.0,0.02972,0.0,0.06098,0.0,0.00636,0.0291,4332.0,15.96095,271.41233,,,0.9401,0.6679
15009030204,9.0,0.03289,1.0,0.9624,0.0,0.05216,1.0,0.09134,0.0,0.03416,1.0,0.10686,0.0,0.00276,1.0,0.15516,0.0,0.0,1.0,0.5,0.0,0.00564,1.0,0.0,1.0,0.0,1.0,0.06315,1.0,0.03336,1.0,0.01886,1.0,0.0,1.0,0.01518,1.0,0.05832,1.0,0.02473,1.0,0.0,1.0,0.0,1.0,0.03577,1.0,0.02418,0.0,0.05298,0.0,0.00406,0.02387,3555.0,27.66819,128.48688,,,0.9401,0.66791
15009030304,9.0,0.02667,0.0,0.9847,0.0,0.04954,0.0,0.10284,0.0,0.05199,1.0,0.14817,0.0,0.00104,1.0,0.07993,0.0,0.00997,1.0,0.44881,0.0,0.00263,1.0,0.00187,1.0,0.0,1.0,0.01988,0.0,0.02197,1.0,0.00446,1.0,0.0,1.0,0.01049,0.0,0.01108,1.0,0.09571,0.0,0.0027,1.0,0.0,1.0,0.11257,0.0,0.02167,0.0,0.0583,0.0,0.00871,0.01801,3269.0,110.58971,29.55971,,,0.95395,0.74368
15009030305,9.0,0.02638,0.0,0.9847,0.0,0.04948,0.0,0.10304,0.0,0.05191,1.0,0.1474,0.0,0.00104,1.0,0.07979,0.0,0.00999,1.0,0.44961,0.0,0.0026,1.0,0.00187,1.0,0.0,1.0,0.01977,0.0,0.02195,1.0,0.00447,1.0,0.0,1.0,0.01051,0.0,0.0102,1.0,0.09581,0.0,0.00271,1.0,0.0,1.0,0.11276,0.0,0.04105,0.0,0.10536,0.0,0.01067,0.03219,5808.0,323.25156,17.96743,,,0.95395,0.73869
15009030306,9.0,0.04316,1.0,0.99238,0.0,0.04695,1.0,0.14063,0.0,0.02648,1.0,0.11126,0.0,0.00027,1.0,0.06804,0.0,1e-05,1.0,0.72493,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0394,1.0,0.00272,1.0,0.00971,1.0,0.01079,1.0,0.01242,1.0,0.03858,0.0,0.02382,1.0,0.01268,1.0,0.00243,1.0,0.00684,1.0,0.01219,0.0,0.0,1.0,0.00348,0.01856,2242.0,24.49208,91.5398,,,0.93203,0.67491
15009030307,9.0,0.04317,1.0,0.99239,0.0,0.04695,1.0,0.14066,0.0,0.02646,1.0,0.11123,0.0,0.00027,1.0,0.06803,0.0,0.0,1.0,0.72516,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03942,1.0,0.0027,1.0,0.00972,1.0,0.0108,1.0,0.01242,1.0,0.03861,0.0,0.02376,1.0,0.01269,1.0,0.00243,1.0,0.00675,1.0,0.01387,0.0,0.21248,0.0,0.09656,0.01277,1542.0,39.543,38.99552,,,0.93203,0.67491
15009030403,9.0,0.03853,1.0,0.98112,0.0,0.09044,0.0,0.0713,0.0,0.04399,1.0,0.16005,0.0,0.00657,1.0,0.08976,0.0,0.00177,1.0,0.40455,0.0,0.01214,1.0,0.0,1.0,0.0,1.0,0.01669,1.0,0.0493,0.0,0.0,1.0,0.01365,1.0,0.00126,1.0,0.06018,0.0,0.07863,0.0,0.00885,1.0,0.0,1.0,0.10038,1.0,0.02504,0.0,0.13558,0.0,0.00833,0.02264,3522.0,18.97045,185.65713,0.90612,0.60286,0.94116,0.68545
15009030404,9.0,0.05766,0.0,0.98175,0.0,0.09181,0.0,0.12525,0.0,0.10169,1.0,0.18457,0.0,0.00535,1.0,0.09824,0.0,0.00104,1.0,0.34841,0.0,0.00138,1.0,0.0,1.0,0.0,1.0,0.00863,1.0,0.0518,0.0,0.0,1.0,0.0,1.0,0.00242,1.0,0.12414,0.0,0.03885,0.0,0.00345,1.0,0.0,1.0,0.12759,0.0,0.03591,0.0,0.09012,0.0,0.01289,0.03144,5556.0,27.41488,202.66364,0.91839,0.58004,0.94562,0.68254
