name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
Honolulu Hale,"530 SOUTH KING STREET HONOLULU, HI 96813",False,Locality wide location,False,-157.857,21.30522,
Honolulu Hale,"530 SOUTH KING STREET HONOLULU, HI 96813",True,Locality wide location,False,-157.857,21.30522,
Kapolei Hale,"1000 ULUOHIA STREET KAPOLEI, HI 96707",False,Locality wide location,False,-158.08186,21.32985,
Kapolei Hale,"1000 ULUOHIA STREET KAPOLEI, HI 96707",True,Locality wide location,False,-158.08186,21.32985,
