geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,prc_native_hi,prc_native_hi_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,turnout_tot_2016,vbm_tot_2020,turnout_tot_2020
15003000107,3.0,0.03319,0.0,0.98786,0.0,0.0337,1.0,0.03079,0.0,0.05945,1.0,0.43651,0.0,5e-05,1.0,0.06558,0.0,1e-05,1.0,0.25389,0.0,4e-05,1.0,0.0,1.0,0.0,1.0,0.02236,1.0,0.00178,1.0,0.00729,1.0,1e-05,1.0,0.08647,0.0,0.03485,0.0,0.22144,0.0,0.01896,1.0,0.01422,1.0,0.03981,1.0,0.00284,0.0,0.0,1.0,0.00059,0.00248,2716.0,3.02178,898.80757,0.93681,0.68507,0.97617,0.80396
15003000108,3.0,0.05592,0.0,0.96825,0.0,0.04286,1.0,0.04539,0.0,0.06007,1.0,0.29966,0.0,0.0529,1.0,0.04266,0.0,0.0,1.0,0.3727,0.0,0.00546,1.0,0.0,1.0,0.0,1.0,0.03106,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08498,0.0,0.01706,1.0,0.11126,0.0,0.04949,0.0,0.00819,1.0,0.06928,1.0,0.00337,0.0,0.01436,0.0,0.00439,0.00346,3170.0,1.37499,2305.46479,0.93,0.65219,0.96689,0.77628
15003000110,3.0,0.06679,0.0,0.98472,0.0,0.0604,0.0,0.03266,1.0,0.04333,1.0,0.43626,0.0,0.00736,1.0,0.05123,1.0,1e-05,1.0,0.26827,0.0,2e-05,1.0,0.0,1.0,0.0,1.0,0.00939,1.0,0.01457,1.0,0.00367,1.0,0.0,1.0,0.05747,0.0,0.00917,1.0,0.25051,0.0,0.05283,1.0,0.00221,1.0,0.04288,1.0,0.00427,0.0,0.0,1.0,0.00072,0.00355,4217.0,7.68397,548.80503,0.93897,0.68523,0.97737,0.80416
15003000114,3.0,0.05405,1.0,0.99594,0.0,0.02439,1.0,0.0635,1.0,0.0263,1.0,0.26042,0.0,0.03335,1.0,0.01988,1.0,0.0,1.0,0.49134,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01988,1.0,0.0,1.0,0.0,1.0,0.00449,1.0,0.05196,0.0,0.02566,1.0,0.09108,0.0,0.02245,1.0,0.0,1.0,0.01924,1.0,0.00159,0.0,0.0,1.0,0.00029,0.00192,1716.0,1.93119,888.56904,0.91871,0.65886,0.96497,0.77467
15003000115,3.0,0.0967,0.0,0.8715,0.0,0.04484,1.0,0.03993,0.0,0.06581,1.0,0.45214,0.0,0.00344,1.0,0.07676,0.0,0.0,1.0,0.2794,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02877,1.0,0.00535,1.0,0.00255,1.0,0.00242,1.0,0.09343,0.0,0.08312,0.0,0.18101,0.0,0.06085,0.0,0.00216,1.0,0.01604,1.0,0.00266,0.0,0.0,1.0,0.00087,0.00299,2761.0,3.08192,895.86869,,,0.96733,0.77663
15003000116,3.0,0.0967,0.0,0.8715,0.0,0.04484,1.0,0.03993,0.0,0.06581,1.0,0.45214,0.0,0.00344,1.0,0.07676,0.0,0.0,1.0,0.2794,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02877,1.0,0.00535,1.0,0.00255,1.0,0.00242,1.0,0.09343,0.0,0.08312,0.0,0.18101,0.0,0.06085,0.0,0.00216,1.0,0.01604,1.0,0.00254,0.0,0.02331,0.0,0.00052,0.00218,2471.0,1.20784,2045.80074,,,0.97235,0.77593
15003000117,3.0,0.0967,0.0,0.8715,0.0,0.04484,1.0,0.03993,0.0,0.06581,1.0,0.45214,0.0,0.00344,1.0,0.07676,0.0,0.0,1.0,0.2794,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02877,1.0,0.00535,1.0,0.00255,1.0,0.00242,1.0,0.09343,0.0,0.08312,0.0,0.18101,0.0,0.06085,0.0,0.00216,1.0,0.01604,1.0,0.00152,0.0,0.04924,0.0,0.0003,0.00127,1441.0,0.86869,1658.8177,,,0.97234,0.77595
15003000118,3.0,0.0967,0.0,0.8715,0.0,0.04484,1.0,0.03993,0.0,0.06581,1.0,0.45214,0.0,0.00344,1.0,0.07676,0.0,0.0,1.0,0.2794,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02877,1.0,0.00535,1.0,0.00255,1.0,0.00242,1.0,0.09343,0.0,0.08312,0.0,0.18101,0.0,0.06085,0.0,0.00216,1.0,0.01604,1.0,0.00166,0.0,0.0,1.0,0.00021,0.00155,1756.0,2.74201,640.40688,,,0.97235,0.776
15003000119,3.0,0.03587,1.0,0.9742,0.0,0.01641,1.0,0.02304,1.0,0.08184,1.0,0.55672,0.0,0.00296,1.0,0.03364,0.0,0.0,1.0,0.1905,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0191,1.0,0.00227,1.0,0.00296,1.0,0.0,1.0,0.09275,0.0,0.01046,1.0,0.33871,0.0,0.01569,1.0,0.00341,1.0,0.0266,1.0,0.00221,0.0,0.0,1.0,0.00027,0.00149,2189.0,0.73254,2988.22666,,,0.98038,0.80478
15003000120,3.0,0.03586,1.0,0.97419,0.0,0.01643,1.0,0.02305,1.0,0.08184,1.0,0.5566,0.0,0.00296,1.0,0.03365,0.0,0.0,1.0,0.19048,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01909,1.0,0.00228,1.0,0.00295,1.0,0.0,1.0,0.09273,0.0,0.01046,1.0,0.33864,0.0,0.01568,1.0,0.00341,1.0,0.02668,1.0,0.00268,0.0,0.0,1.0,0.00038,0.00239,2620.0,2.22018,1180.08299,,,0.97617,0.80426
