lat,lon
19.72401,-155.08466
19.71917,-155.07886
19.71814,-155.07772
19.70984,-155.0763
19.70557,-155.07788
19.70361,-155.07901
19.70145,-155.07628
19.70477,-155.07068
19.70576,-155.06604
19.69939,-155.0605
19.69768,-155.0615
19.62164,-155.04001
19.59188,-155.05919
19.55135,-155.10679
19.48823,-155.15149
19.43378,-155.23036
19.42789,-155.23603
19.42361,-155.24092
19.42947,-155.25731
19.42814,-155.23542
19.4295,-155.23214
19.48841,-155.1512
19.54937,-155.10849
19.59146,-155.05938
19.62151,-155.03995
19.62263,-155.03911
19.7059,-155.06508
19.70591,-155.069
19.70487,-155.07072
19.70992,-155.07619
19.71539,-155.08402
19.55718,-155.09781
20.04275,-155.59702
20.01692,-155.65308
20.02251,-155.66031
20.02156,-155.66595
20.0219,-155.6708
20.02243,-155.67492
20.02589,-155.68536
20.02726,-155.72124
20.02837,-155.7163
20.02579,-155.68543
20.02233,-155.67495
20.02179,-155.67078
20.04262,-155.59692
20.07635,-155.4705
20.07709,-155.46765
20.07736,-155.46387
20.03958,-155.36903
19.98514,-155.23679
19.8941,-155.12574
19.87097,-155.11443
19.83583,-155.10454
19.82965,-155.10423
19.78965,-155.09478
19.7837,-155.09349
19.72895,-155.09164
19.72286,-155.08194
19.78271,-155.09248
19.83031,-155.10401
19.89419,-155.12566
19.98522,-155.23608
20.03967,-155.36894
20.03841,-155.61707
20.0366,-155.62463
20.02611,-155.65714
19.92465,-155.88611
19.91569,-155.88272
19.95007,-155.85909
19.94123,-155.85642
19.65303,-156.00136
19.71617,-155.97774
20.02264,-155.6769
20.02698,-155.65414
20.03647,-155.6247
20.03831,-155.61694
19.78259,-155.0926
19.99383,-155.82228
20.00796,-155.82474
19.64031,-155.99686
19.63953,-155.99422
19.63753,-155.99277
19.64832,-156.00187
19.73991,-156.01346
19.82845,-155.98965
19.72609,-155.08873
19.72756,-155.09101
19.78367,-155.09341
19.78967,-155.09469
19.82994,-155.10404
20.02029,-155.66922
19.93445,-155.79256
19.9269,-155.78769
19.92122,-155.85959
20.02118,-155.66779
20.2305,-155.79816
20.2381,-155.83021
20.03922,-155.82973
20.23796,-155.8302
20.23046,-155.79859
20.03864,-155.82937
20.02656,-155.6987
20.02223,-155.67452
19.93452,-155.79243
19.64249,-156.0034
19.63392,-155.98976
19.62829,-155.98792
19.62082,-155.98491
19.59131,-155.97132
19.57171,-155.96217
19.62039,-155.98464
19.63386,-155.98965
19.6376,-155.99268
19.63996,-155.99491
19.716,-156.03563
19.92656,-155.78751
19.64601,-155.99031
20.02659,-155.6982
19.92112,-155.85992
19.20242,-155.47701
19.13679,-155.50503
19.06205,-155.58038
19.067,-155.61102
19.08375,-155.77614
19.39668,-155.87945
19.45036,-155.87967
19.48927,-155.91055
19.50616,-155.9202
19.51604,-155.92038
19.54183,-155.92893
19.72511,-156.02997
19.73593,-156.04049
19.54192,-155.92906
19.51756,-155.92027
19.51643,-155.92049
19.50716,-155.92024
19.48898,-155.91037
19.39675,-155.87958
19.06684,-155.61093
19.06194,-155.58051
19.13705,-155.50485
19.94517,-155.86538
19.44679,-155.87988
19.67386,-156.0036
19.67395,-156.0148
19.72051,-155.08634
19.42954,-155.2322
19.559,-155.96229
19.64248,-155.99698
19.64212,-156.0007
19.64737,-156.00495
19.49552,-154.91557
19.4931,-154.94317
19.49484,-154.94828
19.50336,-154.95535
19.52847,-154.92072
