,osm_id,code,fclass,name,lon,lat
0,367803715,2007,library,Laupāhoehoe Public and School Library,-155.23,19.98278
1,367803745,2007,library,Edwin H. Mookini Library,-155.08087,19.7011
2,1566716901,2007,library,Thelma Parker Public library,-155.66913,20.01917
3,1635156480,2005,post_office,,-155.12634,19.89698
4,1926023957,2002,fire_station,Station 16,-155.79385,19.92491
5,2661793981,2005,post_office,,-155.83051,20.23672
6,2661793989,2005,post_office,Paradise Postal Service,-155.83105,20.23813
7,2909980806,2001,police,"Mo'oheau bus station, restricted parking for police",-155.08462,19.72402
8,3254245603,2005,post_office,Downtown Hilo Post Office,-155.08905,19.72588
9,3347079170,2005,post_office,Kealakekua Post Office,-155.92056,19.5182
10,4370558289,2005,post_office,United States Post Office,-155.96161,19.57034
11,4551711341,2005,post_office,,-155.10854,19.54973
12,5458062632,2005,post_office,United States Post Office,-155.1043,19.82944
13,5742421824,2001,police,Roadblock -- Lava Devastation Zone,-154.88095,19.42665
14,7729759847,2005,post_office,The UPS Store,-155.66716,20.02031
15,8156515853,2005,post_office,The UPS Store,-154.95575,19.50319
16,8200408538,2007,library,,-155.08144,19.70387
17,8309265308,2005,post_office,United States Post Office,-155.05728,19.59348
18,8329428754,2005,post_office,Paniolo Express,-155.66701,20.02301
