geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,prc_native_hi,prc_native_hi_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,turnout_tot_2016,vbm_tot_2020,turnout_tot_2020
15001020100,1.0,0.10571,0.0,0.9321,0.0,0.11881,0.0,0.20243,0.0,0.05491,1.0,0.36659,0.0,0.00093,1.0,0.12383,0.0,0.0,1.0,0.25631,0.0,0.01005,1.0,0.00304,1.0,0.0,1.0,0.00584,1.0,0.07593,0.0,0.0,1.0,0.00164,1.0,0.03481,1.0,0.21355,0.0,0.10771,0.0,0.00093,1.0,0.0007,1.0,0.07336,0.0,0.02189,0.0,0.0,1.0,0.00903,0.02437,5424.0,262.05226,20.69816,0.86184,0.61277,0.95625,0.7346
15001020202,1.0,0.06023,0.0,0.95392,0.0,0.10735,0.0,0.13614,0.0,0.06681,1.0,0.27257,0.0,0.00868,1.0,0.1223,0.0,0.00981,1.0,0.19368,0.0,0.0,1.0,0.00151,1.0,0.0,1.0,0.04756,1.0,0.02454,1.0,0.02038,1.0,0.0,1.0,0.00944,1.0,0.17365,0.0,0.06721,0.0,0.00793,1.0,0.0,1.0,0.1706,0.0,0.01567,0.0,0.39364,0.0,0.00412,0.01271,2030.0,635.94317,3.19211,0.84855,0.55411,0.93554,0.65638
15001020300,1.0,0.07139,1.0,0.81476,0.0,0.14702,1.0,0.33457,0.0,0.08926,1.0,0.17617,0.0,0.0102,1.0,0.22405,0.0,0.00096,1.0,0.25734,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05219,1.0,0.1421,0.0,0.00376,1.0,0.00208,1.0,0.02894,1.0,0.01372,1.0,0.08764,0.0,0.02408,1.0,0.0,1.0,0.05326,0.0,0.02221,0.0,0.2133,0.0,0.06364,0.01792,3787.0,3.78881,999.52157,0.84815,0.5752,0.95269,0.68031
15001020400,1.0,0.09623,0.0,0.92231,0.0,0.11952,1.0,0.31137,0.0,0.07372,1.0,0.29668,0.0,0.00453,1.0,0.15136,0.0,0.00091,1.0,0.2287,0.0,0.00181,1.0,0.0,1.0,0.0,1.0,0.01813,1.0,0.1287,1.0,0.0,1.0,0.0,1.0,0.00846,1.0,0.15076,0.0,0.09637,0.0,0.00695,1.0,0.01239,1.0,0.10665,1.0,0.01693,0.0,0.09173,0.0,0.10017,0.01534,3484.0,4.91921,708.24376,0.84138,0.55639,0.95081,0.64488
15001020500,1.0,0.06302,0.0,0.80423,0.0,0.1774,1.0,0.39813,0.0,0.22272,0.0,0.17376,0.0,0.00192,1.0,0.20208,0.0,0.0024,1.0,0.13184,0.0,0.0,1.0,0.00848,1.0,0.0,1.0,0.07072,0.0,0.07888,1.0,0.0,1.0,0.00528,1.0,0.03344,1.0,0.04448,0.0,0.06976,0.0,0.01024,1.0,0.0,1.0,0.0936,0.0,0.02955,0.0,0.30473,0.0,0.12063,0.01969,5699.0,6.1893,920.7824,0.83432,0.48885,0.95031,0.60281
15001020600,1.0,0.03514,0.0,0.96046,0.0,0.13841,0.0,0.13292,0.0,0.09346,0.0,0.19209,0.0,0.00443,1.0,0.09187,0.0,0.00053,1.0,0.09507,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0285,0.0,0.05664,0.0,0.0,1.0,0.00142,1.0,0.00549,1.0,0.05029,0.0,0.10764,0.0,0.01274,1.0,0.00177,1.0,0.28959,0.0,0.02954,0.0,0.04562,0.0,0.095,0.01699,5607.0,61.05753,91.83143,0.86665,0.58606,0.97275,0.7119
15001020701,1.0,0.05286,0.0,0.95726,0.0,0.11239,0.0,0.18528,0.0,0.11502,1.0,0.47676,0.0,1e-05,1.0,0.06213,0.0,0.0,1.0,0.11547,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.016,1.0,0.04275,0.0,0.0,1.0,0.0,1.0,0.0222,1.0,0.03399,0.0,0.3304,0.0,0.02469,1.0,0.00718,1.0,0.05399,1.0,0.02599,0.0,0.0703,0.0,0.02523,0.01401,4781.0,4.7365,1009.39521,0.85807,0.61751,0.97421,0.72344
15001020702,1.0,0.083,0.0,0.96201,0.0,0.1208,0.0,0.0425,0.0,0.05782,1.0,0.53513,0.0,0.00612,1.0,0.07765,0.0,0.0,1.0,0.10192,0.0,0.0,1.0,0.00654,1.0,0.0,1.0,0.00696,1.0,0.0384,0.0,0.0,1.0,0.0,1.0,0.01456,1.0,0.09158,0.0,0.40072,0.0,0.00169,1.0,0.0,1.0,0.06647,0.0,0.02664,0.0,0.08582,0.0,0.00155,0.01153,4634.0,3.0806,1504.253,0.85015,0.66203,0.97995,0.76044
15001020801,1.0,0.04121,0.0,0.96003,0.0,0.03276,1.0,0.07829,0.0,0.09239,1.0,0.34971,0.0,0.0,1.0,0.08767,0.0,0.00413,1.0,0.1553,0.0,0.0,1.0,0.00118,1.0,0.0,1.0,0.0228,1.0,0.0519,0.0,0.0,1.0,0.00256,1.0,0.01474,0.0,0.05347,0.0,0.20228,0.0,0.0002,1.0,0.0,1.0,0.05642,0.0,0.02697,0.0,0.22425,0.0,0.00829,0.01046,4357.0,30.25352,144.01629,0.86874,0.65479,0.97889,0.76026
15001020802,1.0,0.0133,1.0,0.99389,0.0,0.09342,0.0,0.0443,1.0,0.07072,1.0,0.3467,0.0,0.02087,1.0,0.08318,0.0,0.0,1.0,0.2527,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05511,0.0,0.0,1.0,0.0,1.0,0.00405,1.0,0.01757,1.0,0.02913,1.0,0.26997,0.0,0.00255,1.0,0.0,1.0,0.06577,1.0,0.03467,0.0,0.07987,0.0,0.0203,0.02365,6518.0,10.6847,610.03131,0.85946,0.63011,0.96727,0.7285
